,deal_id,deal_name,código_do_inep,origem,campanhas_de_ataque,link_qedu,cidade_encontrada,campanha_de_marketing_que_originou_a_mql,deal_stage,cidade,sistema_de_ensino,nível_de_crença,qualificação_socioeconômica,dominio_(url_do_site_da_escola),associated_company_id,associated_company,associated_contact_ids,associated_contacts
53,1447075770,Colégio Salesiano São Gonçalo,51039877,COM — Arpão,[FV] - Lista Poliedro,http://www.qedu.org.br/escola/252891-eeb-colegio-salesiano-sao-goncalo/sobre,"CUIABÁ
 ",[MAR 2021] Semana da Avaliação,4S. Sondagem,Cuiabá,Poliedro,E. Orbitando,Premium,,2835429599,Colégio Salesiano São Gonçalo,"1514651, 11599701, 13317451, 13324151","diretorgeral@cssg.g12.br, Derli Cleria da Silva Cezar Cleria da Silva Cezar, josefrancisco@cssg.g12.br, Maria Beatriz Curado"
54,4940913408,Colégio Portinari Limeira,35159487,COM — Arpão,[FV] - Lista Poliedro,http://www.qedu.org.br/escola/202336-colegio-portinari-de-ensino-fundamenttal/sobre,"LIMEIRA
 ",Não veio via campanha de Marketing,5PP. Projeto Personalizado,Limeira,Poliedro,"C. Difícil, mas possível",A/B,portinari-ge.com,"4243201849, 5755714073","Colégio Portinari Limeira, Portinari Grupo Educacional","11527951, 13318451","Carlos Alberto Ruberto, Rafael Lucas de Oliveira"
55,1442715669,Colégio Deo Volente,35288561,MQL — Formulário Site Eduqo,[FV] - Lista Poliedro,http://www.qedu.org.br/escola/198610-colegio-deo-volente/sobre,"SÃO PAULO
 ",Não veio via campanha de Marketing,0P. Prospect,São Paulo,Poliedro,X. Churn,C/D,,2835429780,Colégio Deo Volente,"4005201, 10304651","Carla, José Carlos M Junior"
56,4678880408,Curso Interseção/Colégio Leffler,29458757,,[FV] - Lista Poliedro,https://www.qedu.org.br/escola/270331-curso-e-colegio-fortunato/sobre,"SALVADOR
 ",[MAR 2021] Infinite Learning Painéis,0P. Prospect,Salvador,Poliedro,,A/B,,2835449921,Curso Interseção,11525251,luciba2001@gmail.com
57,5045172152,Colégio Dinâmico,28031970.0,COM — Arpão,[FV] - Lista Top Escolas no Enem,False,False,Não veio via campanha de Marketing,0P. Prospect,Aracaju,Poliedro,X. Churn,A/B,http://www.qedu.org.br/escola/103731-jfgg-e-cia-ltda/sobre,2835452801,Colégio Dinâmico,13324051,João
58,4949593967,Colégio ADV Botucatu,,COM — Arpão,[FV] - Lista Poliedro,,Barra Bonita,Não veio via campanha de Marketing,0P. Prospect,Barra Bonita,Poliedro,,A/B,colegioadv.com.br,4931226286,Colégio ADV,"13319553, 13331301, 13332751","soraia@colegioadv.com.br, Nonô, Andressa Milene Parente Nogueira"
59,4936070485,Novo Colégio Unidades I e II,35258143,,[FV] - Lista Poliedro,http://www.qedu.org.br/escola/201334-colegio-novo/sobre,"FRANCA
 ",Não veio via campanha de Marketing,0P. Prospect,Franca,Poliedro,,C/D,novocolegio.com.br,5603386036,Novo Colégio Unidade I,13331701,fabionovocolegio@hotmail.com
60,4708124065,Colégio Intelecto,,,[FV] - Lista Poliedro,,Pouso Alegre,Não veio via campanha de Marketing,0P. Prospect,Pouso Alegre,Poliedro,,A/B,colegiointelecto.com,5137503156,Colégio Intelecto,,
61,4708124064,Colégio Oficina,42142008,,[FV] - Lista Poliedro,http://www.qedu.org.br/escola/215360-colegio-oficina-me/sobre,"JOINVILLE
 ",Não veio via campanha de Marketing,0P. Prospect,Joinville,Poliedro,,A/B,colegiooficinajoinville.com.br,5603377773,Colégio Oficina,,
62,4708124063,Colégio ADV Bauru,35118114,,[FV] - Lista Poliedro,http://qedu.org.br/escola/187410-eeifm-batista-de-bauru-colegio/sobre,"BAURU
 ",Não veio via campanha de Marketing,2R. RAQ,Bauru,Poliedro,,A/B,colegioadv.com.br,4931226286,Colégio ADV,13331601,Mamede Ghadban
63,4708124062,Sapiens Unidade Sapiens - Araraquara,35152031,,[FV] - Lista Poliedro,http://qedu.org.br/escola/188989-sapiens-collegium/sobre,"ARARAQUARA
 ",Não veio via campanha de Marketing,0P. Prospect,Araraquara,Poliedro,,C/D,collegiumsapiens.com.br,5604946259,Sapiens Fantasia Sapiens - Araraquara,,
64,4708065172,Colégio Mestre,35803571,,[FV] - Lista Poliedro,http://www.qedu.org.br/escola/198214-colegio-mestre/sobre,"SÃO SEBASTIÃO
 ",Não veio via campanha de Marketing,Xb. Churn — Não Ligar,São Sebastião,Poliedro,X. Churn,Desqualificada,colegiomestre.com.br,5604880525,Colégio Mestre,,
65,4708065171,Colégio Mater Dei,41025954,,[FV] - Lista Poliedro,https://www.qedu.org.br/escola/214100-ceiefm-mater-dei/sobre,"APUCARANA
 ",Não veio via campanha de Marketing,0P. Prospect,Apucarana,Poliedro,,C/D,materdeiapucarana.com.br,5603933769,Colégio Mater Dei,,
66,4708062871,Integral Marechal,41065760,,[FV] - Lista Poliedro,http://qedu.org.br/escola/214488-25-de-marco-e-m-ei-ef/censo-escolar,"MARECHAL CÂNDIDO RONDON
 ",Não veio via campanha de Marketing,0P. Prospect,Marechal Cândido Rondon,Poliedro,,A/B,integralmarechal.com.br,5603451029,Integral Marechal,,
67,4708062869,Lobo Colégio e Pré-Vestibular,41382366,,[FV] - Lista Poliedro,http://qedu.org.br/escola/236593-colegio-lobo-do-parana/sobre,"GUARAPUAVA
 ",Não veio via campanha de Marketing,0P. Prospect,Ponta Grossa,Poliedro,,C/D,loboonline.com.br,5603451028,Lobo Colégio e Pré-Vestibular,,
68,4708059990,Colégio Porto Bragança Unidade Centro,35307828,,[FV] - Lista Poliedro,http://www.qedu.org.br/escola/205852-ce-porto-braganca/sobre,"BRAGANÇA PAULISTA
 ",Não veio via campanha de Marketing,2R. RAQ,Bragança Paulista,Poliedro,,A/B,portobraganca.com.br,5605033083,Colégio Porto Bragança Unidade Centro,13334901,Regina Perrucci
69,4708058237,Colégio Unesc,42113601,,[FV] - Lista Poliedro,http://www.qedu.org.br/escola/216060-colegio-unesc/sobre,"CRICIÚMA
 ",Não veio via campanha de Marketing,0P. Prospect,Cricíuma,Poliedro,,C/D,unesc.net,5604805251,Colégio Unesc,,
70,4708058233,Sapiens Fantasia Sapiens - Araraquara,35152031,,[FV] - Lista Poliedro,http://qedu.org.br/escola/188989-sapiens-collegium/sobre,"ARARAQUARA
 ",Não veio via campanha de Marketing,0P. Prospect,Araraquara,Poliedro,,C/D,collegiumsapiens.com.br,5604946259,Sapiens Fantasia Sapiens - Araraquara,,
71,4708052653,Sapiens Unidade de Ensino Médio - São Carlos,35125436,,[FV] - Lista Poliedro,https://www.qedu.org.br/escola/190607-colegio-sapiens-curso-e/censo-escolar,"SÃO CARLOS
 ",Não veio via campanha de Marketing,0P. Prospect,Araraquara,Poliedro,,C/D,collegiumsapiens.com.br,5604946259,Sapiens Fantasia Sapiens - Araraquara,13337101,Josué
72,4708049692,Colégio Assunção,41131584,,[FV] - Lista Poliedro,http://www.qedu.org.br/escola/237151-em-nossa-sra-da-assuncao-col-ed-inf-ef/sobre,"CURITIBA
 ",Não veio via campanha de Marketing,0P. Prospect,Curitiba,Poliedro,,C/D,assuncaocuritiba.com.br,5604806937,Colégio Assunção,,
73,4708045608,Colégio John Kennedy,35113943,,[FV] - Lista Poliedro,https://www.qedu.org.br/escola/192695-colegio-john-kennedy/censo-escolar,"PIRASSUNUNGA
 ",Não veio via campanha de Marketing,0P. Prospect,Pirassununga,Poliedro,,C/D,kennedy.com.br,5604641029,Colégio John Kennedy,,
74,4708043124,Integral Itajaí,42068690,,[FV] - Lista Poliedro,http://www.qedu.org.br/escola/225565-colegio-salesiano-itajai/sobre,"ITAJAÍ
 ",Não veio via campanha de Marketing,0P. Prospect,Itajaí,Poliedro,,C/D,integralitajai.com.br,5604997800,Integral Itajaí,,
